S'	PRO	se
obit	VERB	obit
de	ADP	de
celle	DET	cil
saincte	ADJ	saint
dame	NOUN	dame
fut	VERB	être
faict	VERB	faire
et	CCONJ	et
fini	VERB	fin
,	PUNCT	,
porterent	VERB	porter
son	DET	son
corps	NOUN	corps
en	ADP	en
l'	DET	le
eglise	NOUN	église
Saincte	ADJ	saint
Croix	NOUN	croix
que	SCONJ	que
elle	PRON	elle
mesmes	ADJ	même
avoit	VERB	avoir
fondee	VERB	fonder
,	PUNCT	,
et	CCONJ	et
illecquez	VERB	illuec
fut	VERB	être
enterree	VERB	enterrer
moult	ADV	moult
honorablement	NOUN	hournable
comme	SCONJ	comme
raison	NOUN	raison
estoit	VERB	estre
.	PUNCT	.
L'	DET	le
abbesse	NOUN	abbé
envoya	VERB	envoyer
parmy	NOUN	parmi
le	DET	le
royaulme	NOUN	royaume
aux	ADP.DET	à.le
prelatz	ADJ	préler
de	ADP	de
saincte	ADJ	saint
esglise	VERB	église
pour	ADP	pour
faire	VERB	faire
son	DET	son
service	NOUN	service
qui	PRON	qui
jusquez	VERB	jusque
au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
huy	ADV	ui
est	VERB	estre
faict	VERB	faire
en	ADP	en
moult	ADV	moult
de	ADP	de
lieux	NOUN	lieu
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
Nostre	DET	notre
Seigneur	NOUN	seigneur
voullut	VERB	vouloir
demonstrer	VERB	dementre
au	ADP.DET	a.le
monde	NOUN	monde
une	DET	un
partie	NOUN	partie
du	ADP.DET	de.le
merite	NOUN	merite
que	SCONJ	que
celle	DET	cil
saincte	ADJ	saint
royne	NOUN	roine
avoit	VERB	avoir
pourchassé	NOUN	pourchasser
par	ADP	par
son	DET	son
humilité	NOUN	humilité
,	PUNCT	,
sapience	NOUN	sapeince
et	CCONJ	et
debonnaireté	VERB	debonairement
et	CCONJ	et
grand	ADJ	grand
charité	NOUN	charité
et	CCONJ	et
affin	NOUN	afin
que	SCONJ	que
le	DET	le
corps	NOUN	corps
fut	VERB	être
honoré	VERB	honorer
en	ADP	en
terre	NOUN	terre
dont	PRON	dont
l'	DET	le
ame	NOUN	ame
estoit	VERB	estre
devant	ADP	devant
luy	PRON	lui
en	ADP	en
paradis	NOUN	paradis
,	PUNCT	,
fist	VERB	faire
a	ADP	a
son	DET	son
sepulcre	NOUN	seplore
tant	ADV	tant
de	ADP	de
miracles	NOUN	miralt
que	SCONJ	que
merveilles	NOUN	merveille
,	PUNCT	,
car	CCONJ	car
tous	DET	tout
mallades	ADJ	malade
qui	PRON	qui
y	ADV	y
venoient	VERB	venir
,	PUNCT	,
quelque	DET	quelque
malladie	ADJ	maladie
qu'	SCONJ	que
ilz	PRON	il
eussent	VERB	avoir
,	PUNCT	,
ilz	PRON	il
recepvoient	VERB	recevoir
santé	NOUN	santé
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
je	PRON	je
ne	ADV	ne
pourroys	NOUN	pouvoir
souffire	VERB	souffrir
a	ADP	a
raconter	VERB	raconter
toutes	DET	tout
les	DET	le
miracles	NOUN	miralt
que	SCONJ	que
Nostre	DET	notre
Seigneur	NOUN	seigneur
a	ADP	a
faict	VERB	faire
a	ADP	a
la	DET	le
requeste	NOUN	requête
d'	ADP	de
icelle	DET	cil
,	PUNCT	,
nous	PRON	nous
en	ADP	en
raconterons	VERB	rocpresdon
ung	DET	un
entre	ADP	entre
les	DET	le
aultres	PRON	autre
-	PUNCT	-
Il	PRON	il
advint	VERB	advenir
que	SCONJ	que
,	PUNCT	,
ainssi	ADV	ainsi
come	SCONJ	come
ung	DET	un
evesque	NOUN	évêque
qui	PRON	qui
avoit	VERB	avoir
non	NOUN	nom
Laudegengiis	PROPN	laudemun
qui	PRON	qui
estoit	VERB	estre
moult	ADV	moult
grant	ADJ	grant
amy	NOUN	ami
et	CCONJ	et
famillier	NOUN	famille
de	ADP	de
l'	DET	le
eglise	NOUN	église
,	PUNCT	,
venoit	VERB	venir
visiter	VERB	visiter
le	DET	le
sepulcre	NOUN	seplore
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
,	PUNCT	,
l'	DET	le
ennemy	NOUN	ennemi
entra	VERB	entrer
au	ADP.DET	a.le
corps	NOUN	corps
de	ADP	de
l'	DET	le
ung	DET	un
de	ADP	de
sez	VERB	savoir
serviteurs	NOUN	serviteur
et	CCONJ	et
le	DET	le
tourmenta	VERB	tourmente
si	ADV	si
cruellement	NOUN	crüellement
que	SCONJ	que
a	ADP	a
paine	NOUN	peine
le	DET	le
povoit	VERB	pouvoir
on	PRON	on
tenir	VERB	tenir
,	PUNCT	,
car	CCONJ	car
il	PRON	il
ferissoit	VERB	faire
si	ADV	si
durement	ADV	durement
des	ADP.DET	de.le
poins	NOUN	peindre
et	CCONJ	et
mordoit	ADJ	mordre
tous	DET	tout
ceulx	PRON	cil
qu'	SCONJ	que
il	PRON	il
povoit	VERB	pouvoir
trouver	VERB	trouver
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
on	PRON	on
ne	ADV	ne
l'	DET	le
eust	VERB	avoir
tres	ADV	très
serrement	NOUN	serrent
tenu	VERB	tenir
et	CCONJ	et
lyé	ADJ	lié
,	PUNCT	,
aulcung	DET	aucun
ne	ADV	ne
povoit	VERB	pouvoir
converser	VERB	converser
pres	ADV	près
de	ADP	de
luy	PRON	lui
.	PUNCT	.
Mais	CCONJ	mais
quant	SCONJ	cant
on	PRON	on
l'	DET	le
eust	VERB	avoir
porté	NOUN	porter
tout	DET	tout
lyé	ADJ	lié
au	ADP.DET	a.le
sepulcre	NOUN	seplore
,	PUNCT	,
il	PRON	il
cheut	VERB	chëoir
devant	ADP	devant
a	ADP	a
terre	NOUN	terre
ainssi	ADV	ainsi
comme	SCONJ	comme
s'	DET	soi
il	PRON	il
fut	VERB	être
demy	ADJ	demi
mort	NOUN	mort
,	PUNCT	,
car	CCONJ	car
l'	DET	le
ennemy	NOUN	ennemi
qui	PRON	qui
en	ADP	en
luy	PRON	lui
estoit	VERB	estre
avoit	VERB	avoir
telle	DET	tel
paour	NOUN	peur
de	ADP	de
la	DET	le
vertu	NOUN	vertu
Nostre	DET	notre
Seigneur	NOUN	seigneur
et	CCONJ	et
du	ADP.DET	de.le
corps	NOUN	corps
mesmes	ADJ	même
de	ADP	de
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
dont	PRON	dont
il	PRON	il
se	PRON	se
sentoit	VERB	sentir
aprocher	VERB	aprochier
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
se	PRON	se
osa	VERB	oser
mouvoir	NOUN	mouvoir
ne	ADV	ne
mot	NOUN	mot
dire	VERB	dire
,	PUNCT	,
mais	NOUN	mais
yssit	VERB	issir
incontinant	ADV	incontinent
du	ADP.DET	de.le
corps	NOUN	corps
ou	CCONJ	ou
il	PRON	il
estoit	VERB	estre
par	ADP	par
la	DET	le
priere	NOUN	priier
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
en	ADP	en
telle	DET	tel
maniere	NOUN	manière
que	SCONJ	que
,	PUNCT	,
quant	SCONJ	cant
le	DET	le
serviteur	NOUN	serviteur
fut	VERB	être
levé	VERB	lever
et	CCONJ	et
eut	VERB	avoir
rendu	VERB	rendre
graces	NOUN	grace
a	ADP	a
Dieu	PROPN	dieu
et	CCONJ	et
a	ADP	a
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
de	ADP	de
sa	DET	son
delivrance	NOUN	délivrance
,	PUNCT	,
vint	VERB	venir
a	ADP	a
ses	DET	son
compagnons	NOUN	compagnon
et	CCONJ	et
come	SCONJ	come
par	ADP	par
grand	ADJ	grand
amitié	NOUN	amitié
a	ADP	a
ceulx	PRON	cil
qu'	SCONJ	que
il	PRON	il
vouloit	VERB	vouloir
ung	DET	un
peu	ADV	peu
devant	ADP	devant
mordre	VERB	mordre
et	CCONJ	et
ferir	VERB	ferir
par	ADP	par
sa	DET	son
forcenerie	NOUN	forcenter
demanda	VERB	demander
pardon	NOUN	pardon
et	CCONJ	et
estoit	VERB	estre
d'	ADP	de
entendement	NOUN	entendement
paisible	ADJ	paisible
.	PUNCT	.
Devant	ADP	devant
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
avoient	VERB	avoir
regné	VERB	régné
en	ADP	en
France	PROPN	france
plusieurs	DET	plusieurs
sainctes	NOUN	saint
dames	NOUN	dame
et	CCONJ	et
religieuses	ADJ	religier
dont	PRON	dont
l'	DET	le
une	DET	un
eut	VERB	avoir
non	NOUN	nom
Clotilde	PROPN	clotit
qui	PRON	qui
fut	VERB	être
nee	VERB	naistre
du	ADP.DET	de.le
roy	NOUN	roi
Gothebault	PROPN	goutable
et	CCONJ	et
fame	NOUN	feme
du	ADP.DET	de.le
roy	NOUN	roi
Clovis	PROPN	clovir
qui	PRON	qui
estoit	VERB	estre
payen	NOUN	païen
,	PUNCT	,
lequel	DET	lequel
elle	PRON	elle
admounesta	VERB	amouter
tant	ADV	tant
et	CCONJ	et
enseigna	VERB	enseigne
de	ADP	de
divins	ADJ	divin
enseignemens	NOUN	ensemble
que	SCONJ	que
elle	PRON	elle
luy	PRON	lui
fict	VERB	fief
recepvoir	VERB	recevoir
baptesme	NOUN	batesse
de	ADP	de
l'	DET	le
archevesquez	NOUN	archevéser
de	ADP	de
Rains	NOUN	rein
et	CCONJ	et
fut	VERB	être
celuy	DET	cil
le	DET	le
premier	ADJ	premier
roy	NOUN	roi
crestien	ADJ	crestiien
qui	PRON	qui
oncquez	VERB	onques
fut	VERB	être
en	ADP	en
France	PROPN	france
et	CCONJ	et
non	NOUN	nom
mye	ADJ	mie
seullement	ADV	seulement
luy	PRON	lui
mais	NOUN	mais
plusieurs	DET	plusieurs
d'	ADP	de
aultres	PRON	autre
barons	NOUN	baron
et	CCONJ	et
haulx	NOUN	haul
hommes	NOUN	homme
convertit	VERB	convertir
celle	DET	cil
royne	NOUN	roine
a	ADP	a
la	DET	le
loy	NOUN	loi
crestienne	NOUN	crestiien
.	PUNCT	.
Et	CCONJ	et
institua	VERB	instituer
a	ADP	a
Paris	PROPN	paris
une	DET	un
abbaye	NOUN	abbaye
de	ADP	de
moy	PRON	moi
nes	NOUN	ne.il
en	ADP	en
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
monseigneur	NOUN	monseigneur
sainct	ADJ	saint
Pierre	PROPN	piere
,	PUNCT	,
qui	PRON	qui
maintenant	ADV	maintenant
est	VERB	estre
apellee	VERB	apeler
Saincte	ADJ	saint
Geneviefve	PROPN	genveillier
,	PUNCT	,
et	CCONJ	et
estably	VERB	établir
en	ADP	en
la	DET	le
ville	NOUN	ville
de	ADP	de
Chelles	DET	chelle
une	DET	un
abbaye	NOUN	abbaye
de	ADP	de
religieuses	ADJ	religier
en	ADP	en
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
monseigneur	NOUN	monseigneur
sainct	ADJ	saint
George	PROPN	garoger
,	PUNCT	,
mais	NOUN	mais
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
la	DET	le
maison	NOUN	maison
estoit	VERB	estre
petite	ADJ	petit
et	CCONJ	et
estroicte	NOUN	estrocier
,	PUNCT	,
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
depuys	ADV	depuis
la	DET	le
fist	VERB	faire
abaptre	NOUN	abatre
et	CCONJ	et
la	DET	le
fict	VERB	fief
faire	VERB	faire
plus	ADV	plus
riche	ADJ	riche
et	CCONJ	et
plus	ADV	plus
grande	ADJ	grand
qu'	SCONJ	que
elle	PRON	elle
n'	ADV	ne
avoit	VERB	avoir
esté	VERB	être
devant	ADP	devant
et	CCONJ	et
fonda	VERB	fondre
le	DET	le
grand	ADJ	grand
hostel	NOUN	hôtel
en	ADP	en
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
Saincte	ADJ	saint
Croix	NOUN	croix
.	PUNCT	.
En	ADP	en
la	DET	le
destre	ADJ	destre
partie	NOUN	partie
de	ADP	de
ladicte	DET	ledit
esglise	VERB	église
,	PUNCT	,
en	ADP	en
refist	VERB	refaire
ung	DET	un
aultre	ADJ	autre
de	ADP	de
monseigneur	NOUN	monseigneur
sainct	ADJ	saint
George	PROPN	garoger
et	CCONJ	et
en	ADP	en
l'	DET	le
autre	ADJ	autre
partie	NOUN	partie
de	ADP	de
monseigneur	NOUN	monseigneur
saint	ADJ	saint
Estienne	PROPN	esteindre
,	PUNCT	,
premier	ADJ	premier
martyr	NOUN	martir
.	PUNCT	.
Il	PRON	il
y	ADV	y
eut	VERB	avoir
une	DET	un
aultre	ADJ	autre
royne	NOUN	roine
en	ADP	en
France	PROPN	france
qui	PRON	qui
fut	VERB	être
femme	NOUN	femme
du	ADP.DET	de.le
roy	NOUN	roi
Childebert	PROPN	ciladier
,	PUNCT	,
laquelle	DET	lequel
fut	VERB	être
moult	ADV	moult
bone	ADJ	bon
et	CCONJ	et
saincte	ADJ	saint
dame	NOUN	dame
,	PUNCT	,
abandonnee	VERB	abandoner
aux	ADP.DET	à.le
oeuvres	NOUN	oeuvrer
de	ADP	de
misericorde	NOUN	miséricorde
,	PUNCT	,
car	CCONJ	car
elle	PRON	elle
nourrissoit	VERB	nourrir
les	DET	le
orphelins	NOUN	orpuille
et	CCONJ	et
confortoit	VERB	conforter
les	DET	le
dolens	ADJ	dolent
,	PUNCT	,
elle	PRON	elle
soustenoit	VERB	soutenir
les	DET	le
povres	ADJ	pauvre
et	CCONJ	et
les	DET	le
mesaisés	NOUN	maisnele
,	PUNCT	,
elle	PRON	elle
aydoit	VERB	aider
a	ADP	a
son	DET	son
povoir	NOUN	pouvoir
a	ADP	a
ceulx	PRON	cil
qu'	SCONJ	que
elle	PRON	elle
veoit	VERB	vëoir
qui	PRON	qui
avoient	VERB	avoir
necessité	NOUN	nécessité
de	ADP	de
ayde	NOUN	aider
et	CCONJ	et
mesme	ADJ	même
ment	VERB	mentir
aux	ADP.DET	à.le
religieulx	ADJ	religille
et	CCONJ	et
religieusez	VERB	religier
qui	PRON	qui
vivoient	VERB	vivre
chastement	NOUN	chastement
et	CCONJ	et
sainctement	NOUN	saintement
et	CCONJ	et
deuement	ADV	devoir
servoient	VERB	servir
a	ADP	a
Nostre	DET	notre
Seigneur	NOUN	seigneur
jour	NOUN	jour
et	CCONJ	et
nuyt	NOUN	nuit
.	PUNCT	.
Encores	ADV	encore
eut	VERB	avoir
il	PRON	il
en	ADP	en
France	PROPN	france
une	DET	un
aultre	ADJ	autre
royne	NOUN	roine
qui	PRON	qui
fut	VERB	être
nommee	VERB	nommer
Radegonde	PROPN	radendre
et	CCONJ	et
fut	VERB	être
femme	NOUN	femme
au	ADP.DET	a.le
premier	ADJ	premier
roy	NOUN	roi
Clotaire	PROPN	cloterat
.	PUNCT	.
La	DET	le
saincte	ADJ	saint
fut	VERB	être
si	ADV	si
fort	ADJ	fort
myse	VERB	mettre
en	ADP	en
l'	DET	le
amour	NOUN	amour
de	ADP	de
Dieu	PROPN	dieu
que	SCONJ	que
,	PUNCT	,
aprés	ADP	après
les	DET	le
biens	NOUN	bien
qu'	SCONJ	que
elle	PRON	elle
fict	VERB	fief
en	ADP	en
sa	DET	son
vie	NOUN	vie
,	PUNCT	,
elle	PRON	elle
laissa	VERB	laisser
le	DET	le
roy	NOUN	roi
Clotaire	PROPN	cloterat
son	DET	son
seigneur	NOUN	seigneur
et	CCONJ	et
devint	VERB	devenir
religieuse	VERB	religier
a	ADP	a
Poytiers	NOUN	poitiers
.	PUNCT	.
Nous	PRON	nous
avons	VERB	avoir
plus	ADV	plus
recité	VERB	réciter
de	ADP	de
la	DET	le
vie	NOUN	vie
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
que	SCONJ	que
des	ADP.DET	de.le
aultres	PRON	autre
sainctes	NOUN	saint
roynes	NOUN	roine
que	SCONJ	que
avons	VERB	avoir
nommees	VERB	nommer
.	PUNCT	.
La	DET	le
cause	NOUN	cause
est	VERB	estre
pour	ADP	pour
ce	PRON	ce
qu'	SCONJ	que
elle	PRON	elle
fut	VERB	être
plus	ADV	plus
a	ADP	a
nostre	DET	notre
temps	NOUN	temps
et	CCONJ	et
que	SCONJ	que
plus	ADV	plus
nous	PRON	nous
avons	VERB	avoir
veu	VERB	voir
et	CCONJ	et
ouy	VERB	ouïr
de	ADP	de
ses	DET	son
oeuvres	NOUN	oeuvrer
que	SCONJ	que
des	ADP.DET	de.le
aultres	PRON	autre
.	PUNCT	.
Nonpourtant	PROPN	nompreaut
ne	ADV	ne
les	DET	le
tenons	NOUN	tenir
mye	ADJ	mie
petites	ADJ	petit
en	ADP	en
desserte	NOUN	deserte
vers	ADP	vers
Nostre	DET	notre
Seigneur	NOUN	seigneur
ne	ADV	ne
plus	ADV	plus
basses	NOUN	bas
des	ADP.DET	de.le
aultres	PRON	autre
.	PUNCT	.
Aprés	ADP	après
ce	PRON	ce
que	SCONJ	que
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
eust	VERB	avoir
vescu	VERB	vivre
en	ADP	en
ceste	DET	cest
mortelle	ADJ	mortel
vie	NOUN	vie
et	CCONJ	et
aprés	ADP	après
la	DET	le
bone	ADJ	bon
vie	NOUN	vie
religieuse	VERB	religier
qu'	SCONJ	que
elle	PRON	elle
mena	VERB	mener
et	CCONJ	et
les	DET	le
bones	ADJ	bon
operations	NOUN	oprentevois
vertueuses	ADJ	vertuieux
qu'	SCONJ	que
elle	PRON	elle
fict	VERB	fief
,	PUNCT	,
vint	VERB	venir
a	ADP	a
la	DET	le
perfection	NOUN	perfection
de	ADP	de
l'	DET	le
evangille	NOUN	exangline
pour	ADP	pour
despriser	VERB	desprise
le	DET	le
monde	NOUN	monde
et	CCONJ	et
sa	DET	son
convoytise	NOUN	convoiier
pour	ADP	pour
vaincre	NOUN	veintre
le	DET	le
diable	NOUN	dïable
et	CCONJ	et
ses	DET	son
deceptions	NOUN	decevoir
et	CCONJ	et
pour	ADP	pour
servir	VERB	servir
a	ADP	a
Jhesu	PROPN	jesus
Christ	PROPN	christ
en	ADP	en
faisant	VERB	faire
et	CCONJ	et
acomplissant	VERB	accomplir
ses	DET	son
commandemens	NOUN	commandement
.	PUNCT	.
Finist	VERB	finir
sa	DET	son
vie	NOUN	vie
come	SCONJ	come
vraye	ADJ	vrai
religieuse	VERB	religier
entree	NOUN	entree
en	ADP	en
religion	NOUN	religion
,	PUNCT	,
trespassa	VERB	trespasser
la	DET	le
tierce	NOUN	tierce
kalende	NOUN	cantel
de	ADP	de
febvrier	VERB	ferbile
et	CCONJ	et
fut	VERB	être
son	DET	son
ame	NOUN	ame
receue	VERB	recevoir
avecquez	ADP	avec
Nostre	DET	notre
Seigneur	NOUN	seigneur
Jhesu	PROPN	jesus
Christ	PROPN	christ
en	ADP	en
paradis	NOUN	paradis
qui	PRON	qui
vit	VERB	vëoir
et	CCONJ	et
regne	NOUN	renge
pardurablement	NOUN	perdurable
,	PUNCT	,
et	CCONJ	et
repose	NOUN	reposer
le	DET	le
corps	NOUN	corps
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
,	PUNCT	,
ainssi	ADV	ainsi
que	SCONJ	que
avez	VERB	avoir
ouy	VERB	ouïr
,	PUNCT	,
en	ADP	en
l'	DET	le
esglise	VERB	église
de	ADP	de
Chelles	DET	chelle
.	PUNCT	.
Or	ADV	or
prions	NOUN	prison
tous	DET	tout
la	DET	le
saincte	ADJ	saint
dame	NOUN	dame
qu'	SCONJ	que
elle	PRON	elle
prie	VERB	priier
Nostre	DET	notre
Seigneur	NOUN	seigneur
pour	ADP	pour
nous	PRON	nous
qu'	SCONJ	que
il	PRON	il
nous	PRON	nous
veille	VERB	veillier
recepvoir	VERB	recevoir
au	ADP.DET	a.le
regne	NOUN	renge
celestiel	NOUN	celet
qui	PRON	qui
vit	VERB	vëoir
et	CCONJ	et
regne	NOUN	renge
pardurablement	NOUN	perdurable
par	ADP	par
tous	DET	tout
les	DET	le
siecles	NOUN	siècle
des	ADP.DET	de.le
siecles	NOUN	siècle
.	PUNCT	.
Amen	NOUN	amener
.	PUNCT	.
S'	DET	se
enssuit	VERB	ensuivre
la	DET	le
translacion	NOUN	trenchaillier
de	ADP	de
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
,	PUNCT	,
royne	NOUN	roine
de	ADP	de
France	PROPN	france
.	PUNCT	.
On	PRON	on
doibt	VERB	devoir
regarder	VERB	regarder
et	CCONJ	et
considerer	VERB	considérer
par	ADP	par
toute	DET	tout
esglise	VERB	église
la	DET	le
bone	ADJ	bon
odeur	NOUN	oudre
de	ADP	de
vertus	NOUN	vertu
et	CCONJ	et
lez	DET	lez
faictz	VERB	fait
sainctz	NOUN	saint
et	CCONJ	et
vertueulx	NOUN	vertule
des	ADP.DET	de.le
sainctz	NOUN	saint
hommes	NOUN	homme
et	CCONJ	et
des	ADP.DET	de.le
sainctes	NOUN	saint
religieuses	ADJ	religier
et	CCONJ	et
est	VERB	estre
couvenable	ADJ	covenir
chose	NOUN	chose
assavoir	VERB	assavoir
ausquelz	PRON	aucue
loyaulx	NOUN	loyal
il	PRON	il
apartient	VERB	apartenir
a	ADP	a
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
Dieu	PROPN	dieu
les	DET	le
monstrer	VERB	montrer
et	CCONJ	et
declarer	VERB	declarer
.	PUNCT	.
Si	ADV	si
vous	PRON	vous
ferons	NOUN	faire
savoir	VERB	savoir
en	ADP	en
quelle	DET	quel
maniere	NOUN	manière
le	DET	le
corps	NOUN	corps
de	ADP	de
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
fut	VERB	être
osté	VERB	ôter
du	ADP.DET	de.le
lieu	NOUN	lieu
ou	CCONJ	ou
elle	PRON	elle
fut	VERB	être
premierement	ADV	premierement
enterree	VERB	enterrer
et	CCONJ	et
mys	VERB	mettre
au	ADP.DET	a.le
lieu	NOUN	lieu
ou	CCONJ	ou
il	PRON	il
est	VERB	estre
maintenant	ADV	maintenant
honoré	VERB	honorer
avecquez	ADP	avec
grand	ADJ	grand
reverence	NOUN	reverce
.	PUNCT	.
En	ADP	en
l'	DET	le
huitiesme	NOUN	huitier
an	ADP	en
du	ADP.DET	de.le
temps	NOUN	temps
Louys	PROPN	louis
,	PUNCT	,
le	DET	le
tres	ADV	très
debonnaire	ADJ	devonaineune
roy	NOUN	roi
de	ADP	de
France	PROPN	france
advint	VERB	advenir
au	ADP.DET	a.le
moustier	NOUN	moustier
de	ADP	de
Chelles	DET	chelle
,	PUNCT	,
ou	CCONJ	ou
l'	DET	le
honoree	NOUN	honorer
abbesse	NOUN	abbé
Hegilvith	PROPN	hesvignit
l'	DET	le
empereur	NOUN	empereur
vivoit	VERB	vivre
et	CCONJ	et
avoit	VERB	avoir
agreables	NOUN	agreable
les	DET	le
religieuses	ADJ	religier
et	CCONJ	et
tres	ADV	très
bien	NOUN	bien
lez	DET	lez
aymoit	VERB	aimer
,	PUNCT	,
car	CCONJ	car
le	DET	le
roy	NOUN	roi
Louys	PROPN	louis
commanda	VERB	commander
a	ADP	a
enquerre	VERB	enquerre
en	ADP	en
yceluy	DET	cil
temps	NOUN	temps
la	DET	le
condicion	NOUN	condition
et	CCONJ	et
lez	DET	lez
faictz	VERB	fait
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
par	ADP	par
grant	ADJ	grant
desir	ADP	desirrer
et	CCONJ	et
par	ADP	par
grande	ADJ	grand
reverence	NOUN	reverce
et	CCONJ	et
commanda	VERB	commander
que	SCONJ	que
on	PRON	on
luy	PRON	lui
en	ADP	en
contast	VERB	conter
toute	DET	tout
la	DET	le
verité	NOUN	vérité
,	PUNCT	,
laquelle	DET	lequel
chose	NOUN	chose
il	PRON	il
trouva	VERB	trouver
a	ADP	a
grand	ADJ	grand
merveille	NOUN	merveille
,	PUNCT	,
quant	SCONJ	cant
il	PRON	il
sceut	VERB	savoir
la	DET	le
saincte	ADJ	saint
conversation	NOUN	convertir
de	ADP	de
sa	DET	son
vie	NOUN	vie
.	PUNCT	.
Adonquez	ADV	adoncer
il	PRON	il
fut	VERB	être
touché	VERB	toucher
et	CCONJ	et
emprins	NOUN	emprendre
de	ADP	de
l'	DET	le
amour	NOUN	amour
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
et	CCONJ	et
de	ADP	de
l'	DET	le
abbesse	NOUN	abbé
Hegilvith	PROPN	hesvignit
.	PUNCT	.
Et	CCONJ	et
le	DET	le
huitiesme	NOUN	huitier
an	ADP	en
qu'	SCONJ	que
elle	PRON	elle
gouvernoit	VERB	gouverner
ce	PRON	ce
sainct	ADJ	saint
lieu	NOUN	lieu
benignement	ADV	bengier
et	CCONJ	et
sainctement	NOUN	saintement
,	PUNCT	,
le	DET	le
roy	NOUN	roi
commanda	VERB	commander
a	ADP	a
son	DET	son
conseil	NOUN	conseil
que	SCONJ	que
le	DET	le
sainct	ADJ	saint
corps	NOUN	corps
de	ADP	de
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
fut	VERB	être
osté	VERB	ôter
du	ADP.DET	de.le
lieu	NOUN	lieu
ou	CCONJ	ou
il	PRON	il
gisoit	VERB	jesir
et	CCONJ	et
aporté	VERB	aporter
en	ADP	en
l'	DET	le
esglise	VERB	église
Nostre	DET	notre
Dame	NOUN	dame
,	PUNCT	,
auquel	ADP.PRON	à.lequel
lieu	NOUN	lieu
y	ADV	y
avoit	VERB	avoir
moult	ADV	moult
de	ADP	de
sainctes	NOUN	saint
vierges	NOUN	verge
qui	PRON	qui
rendoient	VERB	rendement
graces	NOUN	grace
et	CCONJ	et
louenges	NOUN	louange
a	ADP	a
Nostre	DET	notre
Seigneur	NOUN	seigneur
jour	NOUN	jour
et	CCONJ	et
nuyt	NOUN	nuit
en	ADP	en
telle	DET	tel
maniere	NOUN	manière
que	SCONJ	que
la	DET	le
saincte	ADJ	saint
dame	NOUN	dame
eust	VERB	avoir
partie	NOUN	partie
des	ADP.DET	de.le
graces	NOUN	grace
et	CCONJ	et
louenges	NOUN	louange
que	SCONJ	que
on	PRON	on
faisoit	VERB	faire
a	ADP	a
l'	DET	le
esglise	VERB	église
,	PUNCT	,
laquelle	DET	lequel
il	PRON	il
ayma	VERB	aimer
tant	ADV	tant
qu'	SCONJ	que
il	PRON	il
vesquit	VERB	vesquer
.	PUNCT	.
Ycelle	PROPN	cil
abbesse	NOUN	abbé
obeist	NOUN	obéir
au	ADP.DET	a.le
commandement	NOUN	commandement
du	ADP.DET	de.le
roy	NOUN	roi
si	ADV	si
tost	DET	tost
qu'	SCONJ	que
elle	PRON	elle
peut	VERB	pouvoir
avoir	VERB	avoir
opportunité	NOUN	opporter
.	PUNCT	.
En	ADP	en
la	DET	le
quarte	ADJ	cart
kallende	NOUN	calende
qui	PRON	qui
fut	VERB	être
le	DET	le
quart	DET	cart
jour	NOUN	jour
de	ADP	de
la	DET	le
sepmaine	NOUN	sempener
alla	VERB	aller
la	DET	le
saincte	ADJ	saint
abbesse	NOUN	abbé
ainssy	ADV	ainsi
arrousee	VERB	arover
de	ADP	de
la	DET	le
grace	NOUN	grace
Nostre	DET	notre
Seigneur	NOUN	seigneur
et	CCONJ	et
de	ADP	de
son	DET	son
ayde	NOUN	aider
et	CCONJ	et
assembla	VERB	assembler
lez	DET	lez
sainctes	NOUN	saint
personnes	NOUN	personne
